toid,gml_version,versiondate,function,reasonforchange,functionstatus,functiontheme,perimeter,area,distinctivename1,distinctivename2,distinctivename3,distinctivename4,primaryaddressbaseuprn,stakeholder1,stakeholder2,stakeholder1role,stakeholder2role,extentdefinition,function_codespace,functiontheme_codespace
osgb4000000073327827,5,44110,Medical Care Accommodation,Attributes,Operational,Medical Care,177.63,1555.73,Willow Grangel Nursing Home,,,,1.00022E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327911,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,233.88,3183.13,Charlotte House,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328018,6,43866,Hospital,Modified,Operational,Medical Care,255.01,4245.55,The Huntercombe Roehampton Hospital,,,,,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327851,6,43787,Hospital,Modified,Operational,Medical Care,1260.28,80882.68,Kingston Hospital,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327864,6,43843,Hospital,Attributes,Operational,Medical Care,902.45,38679.89,The Cassel Hospital,,,,10002260803,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327878,6,43864,Hospital,Modified,Operational,Medical Care,561.22,10724.99,Teddington Memorial Hospital,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327907,6,43865,Medical Care Accommodation,Modified,Operational,Medical Care,319.71,5487.55,Atfield House Nursing Home,,,,1.00022E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327928,10,44161,Hospital,Modified,Operational,Medical Care,1775.83,50823.62,The Ealing Hospital,,,,12001075,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327958,6,43775,Medical Care Accommodation,Modified,Operational,Medical Care,145.26,1115.89,Kenilworth House,,,,12124868,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327964,4,42635,Hospital,Attributes,Operational,Medical Care,206.42,2646.77,Dame Gertrude Young Hospital,,,,12126874,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328533,5,43591,Medical Care Accommodation,Modified,Operational,Medical Care,255.03,3854.9,Oakcroft House Nursing Home,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073327982,5,43684,Hospital,Attributes,Operational,Medical Care,529.07,11625.48,Clayponds Hospital and Day Treatment Centre,,,,12126605,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328020,5,42628,Hospital,Modified,Operational,Medical Care,838.95,33995.54,Queen Mary's Hospital,,,,121052762,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328024,6,43866,Hospital,Modified,Operational,Medical Care,548.03,15782.02,The Priory Hospital Roehampton,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328028,5,43871,Hospital,Modified,Operational,Medical Care,503.44,14374.11,Barnes Hospital,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328038,8,43864,Medical Care Accommodation,Modified,Operational,Medical Care,359.27,9002.05,St Mary's Convent and Nursing Home,28,,,2.00004E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328057,7,43811,Hospital,Modified,Operational,Medical Care,983.8,45065.78,Central Middlesex Hospital,,,,202136752,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328071,6,43878,Hospital,Modified,Operational,Medical Care,1071,20452.03,Ravenscourt Park Hospital,,,,34128675,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328189,7,43867,Hospital,Modified,Operational,Medical Care,1041.46,47027.72,Royal Hospital for Neuro-disability,,,,121004807,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328549,4,43157,Hospital,Modified,Operational,Medical Care,450.43,8134.44,Nuffield Health Woking Hospital,,,,2E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328103,7,43684,Hospital,Attributes,Operational,Medical Care,1404.99,71638.6,Hammersmith Hospital and Postgraduate Medical School of London,,,,34020826,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328104,7,43691,Medical Care Accommodation,Attributes,Operational,Medical Care,211.49,2520.69,Princess Louise of Kensington Nursing Home,,,,217121090,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328116,5,43810,Hospital,Modified,Operational,Medical Care,690.16,29366.02,St Charles' Centre for Health and Wellbeing,,,,217118402,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328144,6,43871,Hospital,Modified,Operational,Medical Care,1108.47,55807.38,Charing Cross Hospital,School of Nursing,,,34118984,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328199,4,42635,Medical Care Accommodation,Attributes,Operational,Medical Care,290.9,3106.31,,,,,48065892,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328225,4,42542,Medical Care Accommodation,Modified,Operational,Medical Care,178.36,1707.72,Carter House,,,,48026423,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328230,5,43872,Hospital,Modified,Operational,Medical Care,614.78,9834.94,Parkside Hospital,,,,48055455,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328244,6,43802,Medical Care Accommodation,Modified,Operational,Medical Care,318.22,3112.85,2,Lynton Hall,,,128012414,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328250,8,43873,Hospital,Modified,Operational,Medical Care,425.01,8497.91,184,The New Victoria Hospital,,,128005078,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328281,8,44181,Hospital,Attributes,Operational,Medical Care,839.61,34409.33,Spire St Anthony's Hospital,,,,5870119243,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328282,4,42991,Hospice,Modified,Operational,Medical Care,276.14,2604.03,St Raphael's Hospice,,,,5870014192,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328295,4,42983,Medical Care Accommodation,Modified,Operational,Medical Care,180.61,1610.95,23,,,,5870000717,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328296,4,42899,Medical Care Accommodation,Modified,Operational,Medical Care,202.71,2358.99,23,,,,5870108469,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328297,6,43796,Medical Care Accommodation,Modified,Operational,Medical Care,230.27,2983.66,Bolters Corner Nursing Home,,,,68154676,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328351,4,43078,Medical Care Accommodation,Modified,Operational,Medical Care,183.14,1729.72,43,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328313,9,43579,Hospital,Modified,Operational,Medical Care,1685.46,100183.43,Tadworth Court,2,,,68155564,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328321,5,43586,Hospital,Modified,Operational,Medical Care,1232.54,57702.84,Epsom General Hospital,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328326,5,43801,Medical Care Accommodation,Modified,Operational,Medical Care,284.02,3518.57,,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328346,5,43573,Hospital,Modified,Operational,Medical Care,593.52,18874.77,The Ashtead Hospital,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328373,5,42635,Hospital,Attributes,Operational,Medical Care,690.01,26731.96,Leatherhead Hospital,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331462,6,43810,Medical Care Accommodation,Modified,Operational,Medical Care,245.3,3105.87,129,St Johns Nursing Home,,,1.00021E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328543,5,43585,Hospital,Modified,Operational,Medical Care,615.75,16610.45,Woking Community Hospital,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328482,4,43581,Medical Care Accommodation,Modified,Operational,Medical Care,929.11,39465.15,Ashley Park,,,,10007047169,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328506,6,43221,Hospital,Attributes,Operational,Medical Care,452.17,7502.14,,,,,,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328508,5,43587,Medical Care Accommodation,Modified,Operational,Medical Care,483.8,12966.9,St Georges Nursing Home,,,,10013119159,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328515,6,44264,Medical Care Accommodation,Modified,Operational,Medical Care,641.44,21917.17,Dene Place,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328521,5,43574,Medical Care Accommodation,Modified,Operational,Medical Care,168.57,1677.56,151,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328525,5,43601,Medical Care Accommodation,Modified,Operational,Medical Care,389.57,6448.51,,,,,10002424048,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328550,6,43566,Medical Care Accommodation,Modified,Operational,Medical Care,730.29,22451.42,Coxhill Manor Nursing Home,,,,2E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328647,5,44261,Hospital,Modified,Operational,Medical Care,621.95,21250.06,The Priory Hospital,,,,2E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328650,6,43724,Hospital,Attributes,Operational,Medical Care,408.28,7318.71,Cygnet Hospital,,,,10001158138,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330180,7,43867,Medical Care Accommodation,Modified,Operational,Medical Care,376.2,5235.07,93,Dulwich Care Centre,,,1.00022E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328659,6,43566,Medical Care Accommodation,Modified,Operational,Medical Care,556.36,11898.53,Halebourne House,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073328662,5,43558,Medical Care Accommodation,Modified,Operational,Medical Care,370.1,5214.08,Moorlands Nursing Home,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073334625,4,42940,Medical Care Accommodation,Modified,Operational,Medical Care,123.25,724.9,28a,28,,,5870060641,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331467,5,43029,Medical Care Accommodation,Attributes,Operational,Medical Care,230.1,3238.61,74,Tupwood Gate Nursing Home,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330118,3,42542,Hospital,Modified,Operational,Medical Care,298.26,4825.95,BUPA Cromwell Hospital,,,,217022128,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330154,6,43600,Hospital,Modified,Operational,Medical Care,1407.48,62289.29,St Margaret's Hospital,,,,2.00001E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330301,5,43684,Hospital,Attributes,Operational,Medical Care,573.15,12731.56,Erith and District Hospital,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330310,8,43636,Hospital,Modified,Operational,Medical Care,2221.26,163955.13,The Maidstone Hospital,,,,2.00004E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330362,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,521.47,9354.83,Charton Manor,,,,50002007841,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330496,7,43795,Hospital,Modified,Out of Service,Medical Care,155.08,1153.71,Samaritan Hospital for Women,,,,10033564681,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330530,5,43054,Medical Care Accommodation,Modified,Operational,Medical Care,159.16,1506.93,,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330405,7,43720,Hospital,Attributes,Operational,Medical Care,894.12,40097.32,Bracton Centre,,,,10002021825,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330409,5,43528,Medical Care Accommodation,Modified,Operational,Medical Care,372.43,5930,Hazelwood Nursing Home,,,,2.00001E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330411,4,43157,Medical Care Accommodation,Modified,Operational,Medical Care,178.77,2054.27,,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330424,5,44053,Medical Care Accommodation,Modified,Operational,Medical Care,299.43,4584.42,Leonard Lodge Nursing Home,,,,1.00091E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330948,4,43178,Hospice,Modified,Operational,Medical Care,339.48,6350.34,,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330675,5,43892,Hospital,Modified,Operational,Medical Care,1412.74,78002.9,Memorial Hospital,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330712,4,43164,Medical Care Accommodation,Modified,Operational,Medical Care,378.97,6249.29,Hutton Village Nursing Home,,,,1.00091E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330742,4,44098,Hospice,Modified,Operational,Medical Care,435.13,4834.76,St Lukes Hospice,,,,1.00092E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330771,4,42542,Medical Care Accommodation,Modified,Operational,Medical Care,507.42,8360.57,15,,,,2.00004E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330780,6,43157,Medical Care Accommodation,Modified,Operational,Medical Care,772.45,33795.36,Wombwell Hall Nursing Home,Weller House,,,10012025026,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330849,5,43843,Hospital,Attributes,Operational,Medical Care,310.33,5467.09,Moorfields Eye Hospital,,,,5300019990,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330870,5,43819,Medical Care Accommodation,Modified,Operational,Medical Care,209.27,1914.56,Sally Sherman Nursing Home,,,,46082752,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330890,6,44070,Medical Care Accommodation,Modified,Operational,Medical Care,486.79,15025.6,Derham House Nursing Home,,,,1.00021E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330911,12,44209,Hospital,Modified,Operational,Medical Care,788.34,25585.62,St Bartholomew's Hospital,,,,1.00024E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330992,4,43157,Hospital,Modified,Operational,Medical Care,782.31,33980.89,Hartswood Hospital,,,,1.00091E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331011,5,43038,Hospital,Modified,Operational,Medical Care,502.96,12414.94,Purley War Memorial Hospital,856,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330980,5,43157,Medical Care Accommodation,Modified,Operational,Medical Care,130.59,1050.83,29,Ashley Down Nursing Home,,,1.00061E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073330989,6,43720,Hospital,Modified,Operational,Medical Care,410.6,7237.95,Livingstone Hospital,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331025,4,43160,Medical Care Accommodation,Modified,Operational,Medical Care,202.83,2267.16,,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331095,6,43874,Medical Care Accommodation,Modified,Operational,Medical Care,313.18,2853.12,Sunbridge Nursing Home,108,,,207173808,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331110,9,43816,Medical Care Accommodation,Modified,Operational,Medical Care,316.77,5776.25,Vivienne Cohen House,The Lodge Nursing Home,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331152,4,43815,Hospital,Modified,Operational,Medical Care,730.68,21737.16,St Pancras Hospital,,,,5139737,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331168,4,42635,Medical Care Accommodation,Attributes,Operational,Medical Care,410.91,9222.36,Mornington Hall Nursing Home,,,,46088014,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331213,5,43565,Medical Care Accommodation,Modified,Operational,Medical Care,346.83,4550.02,Wilmington Manor Nursing Home,,,,1.00063E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331386,4,42628,Medical Care Accommodation,Attributes,Operational,Medical Care,155.12,1476.97,3,Whiteoak Court Nursing Home,,,1.0002E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331808,7,43222,Medical Care Accommodation,Attributes,Operational,Medical Care,360.02,4607.45,50,,,,1.00021E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331470,6,43585,Hospital,Modified,Operational,Medical Care,683.17,9384.42,North Downs Hospital,,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331476,8,44089,Hospital,Modified,Operational,Medical Care,1661.5,147665.16,Medway Maritime Hospital,Hospital and Medical Tuition Service,,,1.00062E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331639,4,43594,Medical Care Accommodation,Modified,Operational,Medical Care,571.52,12610.15,64,,,,1.00063E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073332926,3,42542,Medical Care Accommodation,Modified,Operational,Medical Care,168.85,1472.85,,,,,1.00023E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
osgb4000000073331633,6,44148,Medical Care Accommodation,Modified,Operational,Medical Care,209.58,2590.68,,,,,2.00004E+11,,,,,Fully Defined,http://www.ordnancesurvey.co.uk/xml/codelists/sitefunctions.xml,http://www.ordnancesurvey.co.uk/xml/codelists/sitethemes.xml
